name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,넓은 거랑 화장실 깨끗한 것만 좋아요. 메뉴가 바뀐건지 제가 찾아보고 간 베이커리는 하나도 없었구요. 베이커리는 큰 기대 안하시는게 좋을 것 같아요. 그냥 파바 맛이네요 ㅋㅋㅋ 그리고 몇몇 알바 분들 서비스 교육이 시급해보이네요.. 여자 화장실이 매 층에 있지 않아서 지하나 3층 이용해야 돼요.더보기,3.0,42,3.7
인크커피 가산 플래그십 스토어,좋네요더보기,5.0,3,5.0
인크커피 가산 플래그십 스토어,커피 맛있음 고소함과 신맛이 적당히 블랜딩베이커리류도 무난하게 맛남케이크는 비추.. 케이크 너무달아요 ㅠㅠ키페 넓고 쾌적하고 테이블 편함!!굳접기,4.0,222,3.9
인크커피 가산 플래그십 스토어,더보기,5.0,18,5.0
인크커피 가산 플래그십 스토어,맛있는커피 보는재미 넓은장소 카페없기로 소문난 가산에 단비같은 장소더보기,5.0,522,3.2
인크커피 가산 플래그십 스토어,"아늑하고, 전반적으로 시끄럽지 않은 분위기여서 만족스럽습니다.더보기",5.0,1,5.0
인크커피 가산 플래그십 스토어,커피 맛있고 한상 깨끗하고 쾌적하고 빵도 너무 맛있구~ 공간이 주는 평온함~ 소파도 푹신하고 케이블도 편해요더보기,5.0,38,3.4
인크커피 가산 플래그십 스토어,원두사갈까 고민했을정도로 커피 맛있음★ 절대비추 지인에 가지말라고 할 집★★ 재방문의사 없음/평범 혹은 그이하★★★ 괜찮음 누가 가자고하면 다시감★★★★ 맛있음 재방문의사 있음★★★★★ 추천 찐맛집접기,4.0,256,3.1
인크커피 가산 플래그십 스토어,더보기,5.0,18,5.0
인크커피 가산 플래그십 스토어,맛있는커피 보는재미 넓은장소 카페없기로 소문난 가산에 단비같은 장소더보기,5.0,522,3.2
인크커피 가산 플래그십 스토어,"아늑하고, 전반적으로 시끄럽지 않은 분위기여서 만족스럽습니다.더보기",5.0,1,5.0
인크커피 가산 플래그십 스토어,커피 맛있고 한상 깨끗하고 쾌적하고 빵도 너무 맛있구~ 공간이 주는 평온함~ 소파도 푹신하고 케이블도 편해요더보기,5.0,38,3.4
인크커피 가산 플래그십 스토어,원두사갈까 고민했을정도로 커피 맛있음★ 절대비추 지인에 가지말라고 할 집★★ 재방문의사 없음/평범 혹은 그이하★★★ 괜찮음 누가 가자고하면 다시감★★★★ 맛있음 재방문의사 있음★★★★★ 추천 찐맛집접기,4.0,256,3.1
인크커피 가산 플래그십 스토어,비오는 날 중정이 더 멋지네요 지나가다 우연히 발견했는데 넘 예뻐서 시그니처 메뉴도 즐기고 갑니다더보기,5.0,71,3.6
인크커피 가산 플래그십 스토어,커피 맛있어요! 시그니처 커피도 괜찮네요 오렌지웅앵더보기,5.0,30,4.6
인크커피 가산 플래그십 스토어,더보기,5.0,2,5.0
인크커피 가산 플래그십 스토어,"그린티 에쏘라떼 맛은 있으나 6,200원에  종이컵? 사이즈입니다.이렇게 작은 사이즈인 줄 몰랐네요 ㅜㅜ더보기",2.0,31,2.5
인크커피 가산 플래그십 스토어,빵이 정말 맛있네요~~더보기,5.0,101,4.1
인크커피 가산 플래그십 스토어,비오는 날 중정이 더 멋지네요 지나가다 우연히 발견했는데 넘 예뻐서 시그니처 메뉴도 즐기고 갑니다더보기,5.0,71,3.6
인크커피 가산 플래그십 스토어,커피 맛있어요! 시그니처 커피도 괜찮네요 오렌지웅앵더보기,5.0,30,4.6
인크커피 가산 플래그십 스토어,더보기,5.0,2,5.0
인크커피 가산 플래그십 스토어,"그린티 에쏘라떼 맛은 있으나 6,200원에  종이컵? 사이즈입니다.이렇게 작은 사이즈인 줄 몰랐네요 ㅜㅜ더보기",2.0,31,2.5
인크커피 가산 플래그십 스토어,빵이 정말 맛있네요~~더보기,5.0,101,4.1
인크커피 가산 플래그십 스토어,비오는 날 중정이 더 멋지네요 지나가다 우연히 발견했는데 넘 예뻐서 시그니처 메뉴도 즐기고 갑니다더보기,5.0,71,3.6
인크커피 가산 플래그십 스토어,커피 맛있어요! 시그니처 커피도 괜찮네요 오렌지웅앵더보기,5.0,30,4.6
